Word-sentence,count
Data Breach Notification,411
Today's Information,57
none,27
Data Breach Notifications,21
[no-title],7
"Cogdell Memorial Hospital Cyberattack Affects 87,000 Patients",5
Comptes,5
"Office of the Maine AG: Consumer Protection: Privacy, Identity Theft and Data Security Breaches",3
Cybersecurity Incident,3
8-K,3
FORM 8-K,3
"More Than 909,000 Individuals Affected by Cyberattack on New York IT Services Provider",3
"Dignity Health Lassen Medical Clinic Cyberattack Affects 65,482 Patients",3
"Cyberattack on Michigan Plastic Surgery Practice Affects Almost 20,000 Patients",3
Notice of Data Security Incident,3
"Phoenician Medical Center Cyberattack Affects Up to 162,500 Patients",2
Access Denied,2
Cybersecurity Notice | Tampa General Hospital,2
Jacarezinho sofre ataque cibernético | Notícias | Baguete,2
"Western Washington Medical Group Reports 350,000-Record Data Breach",2
Decatur ISD hit by suspected cybersecurity attack - Wise County Messenger,2
MFA Bypassed in Cyberattack on L.A. County Department of Mental Health,2
SouthCoast Health; Call 4 Health Notify Patients About Cyberattacks,2
"Cyberattack on Help at Home Affects 26,700 Current & Former Patients",2
"Snatt, attacco hacker e sistemi in tilt. Cassa per cinquecento lavoratori",2
CYBERSECURITY INCIDENT,2
"不正アクセスに伴う情報漏えいの可能性および当面の業務制限について|栃木県でがん治療,ガン検査なら宇都宮セントラルクリニック",2
Cyberattaque,2
Attention,2
Delhi Hospitals Hit by Cyber Attack | Technology,2
"Cyberattacke in Reutlingen: Keine E-Mails, kein Festnetz bei Romina Mineralwasser",2
9 Investigates: Kannapolis didn’t alert public when cyberattack knocked out police dispatch - WSOC TV,1
Tokyo MOU reveals cyber-attack compromised data | TradeWinds,1
"Ransomware : en septembre 2022, Toulouse INP a été frappé avec AvosLocker | LeMagIT",1
San Diego Unified student medical data compromised in breach - The San Diego Union-Tribune,1
London & Zurich ransomware attack causes customer chaos • The Register,1
'Cyber incident' impacting transactions - c. 80 firms affected | Today's Conveyancer,1
Fahrradbauer Prophete: Erste Details zum Cyber-Angriff | heise online,1
70-year-old radiology practice suffers cyberattack,1
Freising: Nach Hackerangriffen: Maschinenring Freising hat sich erholt - „Feuerwehr für Landwirte“,1
DMPS Notifies Individuals of Data Security Incident - Des Moines Public Schools,1
Grosser Cyberangriff - Kinder betroffen: Daten des Basler Erziehungsdepartements gehackt - News - SRF,1
Cyber-Angriff auf Mail-Konten des SPD-Parteivorstands,1
US food delivery service PurFoods discloses data breach,1
Middleburg Weathers Cyber Attack | Towns | loudounnow.com,1
"Technology issues cause late start, confusion at Edmonds schools | The Seattle Times",1
TroGroup wurde Ziel eines Cyber-Angriffs | TroGroup,1
Burton Snowboards discloses data breach after February attack,1
Gates Industrial Reports First-Quarter 2023 Results,1
Sweetwater Union District confirms data breach caused system outages in February,1
"Skidmore College Confirms Recent Ransomware Attack Resulted in Data Breach Affecting Personal Data of 121k | Console and Associates, P.C. - JDSupra",1
San Jose nonprofit that serves low-income residents impacted by ransomware attack,1
Hacker committed ransomware attack on Gaston College,1
Bryan Cave Hit by Cyberattack Involving Client Mondelez’s Data,1
Uniboard Canada aurait été victime d'une cyberattaque,1
Cyberangriff auf Werften FSG und Nobiskrug - Hamburger Abendblatt,1
Food distribution giant Sysco warns of data breach after cyberattack,1
Bienville Orthopaedic Specialists Sued Over Data Breach | Orthopedics This Week,1
"American Bar Association network compromised, member data leaked to third party | Wisconsin Law Journal - WI Legal News & Resources",1
Hospitals and doctors in Va. may be impacted by data breach | 13newsnow.com,1
Catholic Paper Suffers Data Breach 05/08/2023,1
IN: Cummins Behavioral Health Systems discovers cyberattack when it finds ransom note,1
"Loire. Victime d'une cyberattaque, cette agence immobilière du Coteau a perdu toutes ses données",1
"PharMerica Company Amerita Confirms Data Breach Leaked Tens of Thousands of Patients’ Health Information | Console and Associates, P.C. - JDSupra",1
Confirman información de abonados AAA comprometida tras ataque cibernético • WIPR,1
