Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2019,Phishing,Education,1.043437329957497,0.9261427849438474,Hacker Group,Unpatched Software,VPN,1.2896174998194159
China,2019,Ransomware,Retail,0.40633570468294433,-0.7199937610112933,Hacker Group,Unpatched Software,Firewall,1.6785837190380604
India,2017,Man-in-the-Middle,IT,-0.41140542175996564,0.34912847548528797,Hacker Group,Weak Passwords,VPN,-0.8010759284807982
UK,2024,Ransomware,Telecommunications,-0.31448538171002005,0.5334188582275166,Nation-state,Social Engineering,AI-based Detection,-1.4331460347110956
Germany,2018,Man-in-the-Middle,IT,0.8308385324285841,1.0555444719407443,Insider,Social Engineering,VPN,1.5327213868310685
Germany,2017,Man-in-the-Middle,Retail,1.6586537848981908,-0.7571105512463214,Unknown,Social Engineering,Antivirus,-0.5579720414691455
Germany,2016,DDoS,Telecommunications,-0.5986452123940899,-0.2532708209007409,Insider,Unpatched Software,VPN,-0.12038504484817042
France,2018,SQL Injection,Government,0.3035101424794178,1.3981124386182917,Unknown,Social Engineering,Antivirus,1.4354798320264075
India,2016,Man-in-the-Middle,Banking,-1.1676596410744156,0.66770505962709,Unknown,Social Engineering,VPN,0.5116850613821269
UK,2023,DDoS,Healthcare,0.6477673456675759,0.6252001256795048,Hacker Group,Unpatched Software,Firewall,1.046513612807763
China,2019,Phishing,Telecommunications,1.3262076260171949,-0.03797618995847213,Unknown,Zero-day,VPN,-0.3634889318598232
China,2016,SQL Injection,Healthcare,-0.4058472832624776,1.4352878706222785,Hacker Group,Unpatched Software,AI-based Detection,-0.46073048666448435
India,2019,Ransomware,Education,-0.6924387995391985,0.27085551198872443,Insider,Zero-day,Firewall,0.02547728735882126
France,2023,DDoS,Healthcare,0.2736351480554203,0.32809332800822466,Nation-state,Unpatched Software,AI-based Detection,-0.07176426744583986
France,2024,DDoS,IT,-0.08625431965692242,1.4404276491957164,Unknown,Social Engineering,Encryption,1.3382382772217463
Australia,2022,Phishing,Banking,0.47998103977465945,-1.3242523464248948,Nation-state,Zero-day,Encryption,-0.023143490043509303
Russia,2017,Man-in-the-Middle,Healthcare,-1.3010549650141257,1.191717558494459,Hacker Group,Unpatched Software,AI-based Detection,1.4841006094287381
India,2015,DDoS,IT,1.4814881202907637,1.0369032884435239,Insider,Social Engineering,Encryption,0.9492720580031019
UK,2019,Malware,Telecommunications,-1.267358750373105,0.2544323671644708,Insider,Social Engineering,Firewall,-0.4121097092621538
India,2016,DDoS,IT,-0.48782982610042436,-0.8378050748492967,Nation-state,Social Engineering,AI-based Detection,-1.481766812113426
Brazil,2015,Ransomware,Retail,-0.03275723661860123,1.4332319591929035,Hacker Group,Weak Passwords,Antivirus,0.31720195177280464
