claim_gang,claim_url,country,date,domain,has_infostealer_info,link,summary,title,url,victim,infostealer_data.employees,infostealer_data.employees_url,infostealer_data.thirdparties,infostealer_data.update,infostealer_data.users,infostealer_data.users_url,infostealer_data.infostealer_stats.Azorult,infostealer_data.infostealer_stats.Lumma,infostealer_data.infostealer_stats.Raccoon,infostealer_data.infostealer_stats.RedLine,infostealer_data.infostealer_stats.StealC,infostealer_data.infostealer_stats.Vidar,infostealer_data.thirdparties_domain,infostealer_data.infostealer_stats.UNKNOWN,infostealer_data.infostealer_stats.CRYPTBOT,infostealer_data.infostealer_stats.Generic Stealer,infostealer_data.infostealer_stats.Atomic,infostealer_data.infostealer_stats.DarkCrystal,infostealer_data.infostealer_stats.Taurus,infostealer_data.infostealer_stats.Ficker,added,infostealer_data.infostealer_stats.Mystic,infostealer_data.infostealer_stats.Predator,infostealer_data.infostealer_stats.KPOT,infostealer_data.infostealer_stats.Redline,infostealer_data.infostealer_stats.racoon,infostealer_data.infostealer_stats.Acreed
False,False,US,2022-02-28,kannapolisnc.gov,False,https://www.ransomware.live/id/a2FubmFwb2xpc25jLmdvdkAyMDIyLTAyLTI4,"La ville de Kannapolis, en Caroline du Nord, a été victime d'une cyberattaque en février 2022 qui a perturbé son système de dispatch pour la police et les pompiers, mais n'a pas informé le public de l'incident. Les responsables de la ville ont déclaré qu'il n'y avait pas eu de violation de données, ni de demande de rançon, et que les services publics n'avaient pas subi de pertes significatives. Cependant, des documents révélés plus tard ont montré que l'attaque avait complètement détruit le réseau de la ville. Les résidents ont exprimé des opinions divergentes sur la nécessité d'être informés de l'attaque. La ville a déclaré que l'assurance avait couvert une",9 Investigates: Kannapolis didn’t alert public when cyberattack knocked out police dispatch - WSOC TV,https://www.wsoctv.com/news/local/9-investigates-kannapolis-didnt-alert-public-when-cyberattack-knocked-out-police-dispatch/UEMD6NRNOJGE3N5UHCRIUBTECE/,Kannapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,JP,2022-07-15,tokyo-mou.org,False,https://www.ransomware.live/id/dG9reW8tbW91Lm9yZ0AyMDIyLTA3LTE1,"L'autorité de contrôle des ports de Tokyo MOU a révélé que ses données ont été compromises pendant des mois après avoir été victime d'une cyberattaque en juillet dernier. Cette attaque a causé des problèmes avec les données de contrôle des navires, ce qui a pu créer des difficultés pour la prise de décision des affréteurs sur le marché commercial. L'autorité a déclaré qu'elle augmentera les mesures de prévention pour éviter de futures attaques. En 2022, il y a eu 24 894 inspections dans la région de Tokyo MOU, dont 10,5% ont été effectuées à distance. La Chine, Singapour et Hong Kong ont mené la liste blanche de Tokyo MOU, tandis que les États-Unis et les",Tokyo MOU reveals cyber-attack compromised data | TradeWinds,https://www.tradewindsnews.com/regulation/tokyo-mou-reveals-cyber-attack-compromised-data/2-1-1448110,Tokyo MOU Port State Control authority,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,FR,2022-09-12,toulouse-inp.fr,False,https://www.ransomware.live/id/dG91bG91c2UtaW5wLmZyQDIwMjItMDktMTI=,"En septembre 2022, Toulouse INP a été victime d'une cyberattaque avec le ransomware AvosLocker. L'attaque a été déclenchée via un compte étudiant compromis et a bloqué l'annuaire, les mécanismes d'authentification et les capacités d'accès physique aux bâtiments. Des mesures ont été prises pour rétablir pleinement ces accès. L'enquête est toujours en cours et aucune revendication n'a été faite à ce jour. La franchise Avos est connue pour pratiquer la double extorsion.","Ransomware : en septembre 2022, Toulouse INP a été frappé avec AvosLocker | LeMagIT",https://www.lemagit.fr/actualites/252524874/Cyberattaque-dampleur-a-linstitut-national-polytechnique-de-Toulouse,Toulouse INP,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2022-10-25,sandi.net,False,https://www.ransomware.live/id/c2FuZGkubmV0QDIwMjItMTAtMjU=,"Des données médicales d'étudiants de San Diego ont été compromises lors d'une cyberattaque en octobre. Les noms et informations médicales des étudiants ont été compromis. Les responsables ont rapidement sécurisé le réseau, lancé une enquête et informé les autorités. Des mesures de sécurité supplémentaires ont été mises en place. Cette attaque n'est pas la première à toucher les écoles de Californie ces derniers mois.",San Diego Unified student medical data compromised in breach - The San Diego Union-Tribune,https://www.sandiegouniontribune.com/news/education/story/2023-05-19/student-medical-data-compromised-san-diego-unified-cybersecurity-breach,San Diego Unified School District,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,GB,2022-11-10,londonandzurich.co.uk,False,https://www.ransomware.live/id/bG9uZG9uYW5kenVyaWNoLmNvLnVrQDIwMjItMTEtMTA=,"La société de prélèvement direct London & Zurich a été victime d'une attaque par ransomware le 10 novembre, entraînant des interruptions de service et des retards de paiement significatifs pour ses clients, certains devant recourir à des prêts pour pallier les problèmes de trésorerie. La communication de l'entreprise a été critiquée pour son manque de clarté et de fréquence, laissant les clients dans l'incertitude quant à la reprise normale des services. Malgré l'incident, London & Zurich a commencé à reconstruire ses serveurs dans un nouvel environnement et prévoit de restaurer complètement ses services d'ici la fin de la semaine, tout en continuant l'enquête sur l'attaque.",London & Zurich ransomware attack causes customer chaos • The Register,https://www.theregister.com/2023/11/23/ransomware_attack_at_london_zurich/,London & Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,
cactus,https:/www.ransomware.live/id/Y3RzLmNvLnVrQGNhY3R1cw==,GB,2022-11-23,cts.co.uk,False,https://www.ransomware.live/id/Y3RzLmNvLnVrQDIwMjItMTEtMjM=,"Un 'incident cybernétique' a touché environ 80 entreprises au Royaume-Uni, perturbant les transactions immobilières et empêchant l'accès aux systèmes. Le prestataire de services d'infrastructure spécialisé dans le secteur juridique, CTS, travaille avec des experts en cyberforensique pour résoudre le problème et restaurer les systèmes le plus rapidement possible. Bien qu'il n'y ait pas de preuve de compromission de l'intégrité des données, les systèmes ne seront pas remis en ligne avant d'avoir toutes les assurances de leur sécurité.",'Cyber incident' impacting transactions - c. 80 firms affected | Today's Conveyancer,https://todaysconveyancer.co.uk/technology-failure-impacting-transactions/,CTS (Conveyancing Transaction Services),,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,DE,2022-11-25,prophete.de,False,https://www.ransomware.live/id/cHJvcGhldGUuZGVAMjAyMi0xMS0yNQ==,"La société Prophete, fabricant de vélos, a été victime d'une cyberattaque le 25 novembre 2022, qui a paralysé sa production, sa facturation et ses livraisons pendant environ trois semaines, contribuant ainsi à sa faillite. L'attaque a été immédiatement signalée au Landeskriminalamt (police criminelle régionale allemande) et à l'autorité de protection des données, mais les détails de l'incident ne sont pas divulgués en raison d'enquêtes en cours. En plus de l'attaque par ransomware, l'entreprise a également souffert de problèmes d'approvisionnement et de coûts élevés de stockage, et l'avenir de ses marques est incertain, avec un processus",Fahrradbauer Prophete: Erste Details zum Cyber-Angriff | heise online,https://www.heise.de/news/Fahrradbauer-Prophete-Erste-Details-zum-Cyber-Angriff-7457031.html,Prophete-Gruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2022-12-12,cheyrad.com,False,https://www.ransomware.live/id/Y2hleXJhZC5jb21AMjAyMi0xMi0xMg==,"Le groupe de radiologie Cheyenne Radiology Group & MRI, âgé de 70 ans, a récemment subi une cyberattaque qui pourrait avoir entraîné l'exposition involontaire des informations personnelles des patients. Bien qu'il n'y ait aucune preuve d'une utilisation abusive des informations sensibles, le groupe a pris des mesures pour informer la communauté de l'incident. Après avoir détecté la violation de sécurité le 12 décembre, le groupe a engagé un expert judiciaire spécialisé pour déterminer si des informations de patients avaient été affectées. Les clients ont reçu des lettres contenant des détails supplémentaires sur l'incident et proposant des services de surveillance de crédit aux personnes touchées.",70-year-old radiology practice suffers cyberattack,https://radiologybusiness.com/topics/health-it/enterprise-imaging/70-year-old-radiology-practice-suffers-cyberattack,Cheyenne Radiology Group & MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,DE,2022-12-20,mrfreising.de,False,https://www.ransomware.live/id/bXJmcmVpc2luZy5kZUAyMDIyLTEyLTIw,"Le Maschinenring Freising a été victime d'une cyberattaque, mais s'en est maintenant remis. Les membres sont satisfaits, mais il y a eu aussi des critiques de la part des responsables. Le système informatique a été paralysé pendant un mois, mais la plupart des données ont été récupérées. Le coût de l'attaque s'élève à environ 40 000 euros. Le Maschinenring compte actuellement 1670 membres satisfaits de ses services.",Freising: Nach Hackerangriffen: Maschinenring Freising hat sich erholt - „Feuerwehr für Landwirte“,https://www.merkur.de/lokales/freising/freising-ort28692/freising-nach-hackerangriffen-maschinenring-freising-hat-sich-erholt-feuerwehr-fuer-landwirte-92367698.html,Maschinenring Freising,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-01-09,dmschools.org,False,https://www.ransomware.live/id/ZG1zY2hvb2xzLm9yZ0AyMDIzLTAxLTA5,Le district scolaire de Des Moines a été victime d'une cyberattaque en janvier 2023. Près de 6 700 personnes ont été informées de l'incident et de la possible exposition de leurs données personnelles. Des mesures de sécurité ont été prises pour empêcher de futures attaques similaires. Les personnes potentiellement touchées ont été offertes des services de surveillance de crédit gratuits. Aucune preuve de fraude financière ou d'usurpation d'identité n'a été trouvée pour le moment.,DMPS Notifies Individuals of Data Security Incident - Des Moines Public Schools,https://www.dmschools.org/news_release/dmps-notifies-individuals-of-data-security-incident/,District scolaire de Des Moines,,,,,,,,,,,,,,,,,,,,,,,,,,,
